"nrx-1","mir-1","unc-49","nlg-1","unc-25","unc-97","lim-6","lat-2","ptp-3","sup-17","pkd-2"
"folder_2016-7-22_file_525 day 1 _3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-7-22_file_525 day 1 _4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-7-22_file_525 day 1 _5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-7-22_file_525 nrx_1 day 1 _1-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-7-22_file_525 nrx_1 day 1 _2-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-7-22_file_525 nrx_1 day 1 _3-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-7-22_file_525 nrx_1 day 1 _4-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-7-22_file_525 nrx_1 day 1 _5-exported_dist.txt",1,0,0,0,0,0,0,0,0,0,0
"folder_2016-7-22_file_541 day 1 _1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-7-22_file_541 day 1 _2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-7-22_file_541 day 1 _3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-7-22_file_541 day 1 _4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-7-22_file_541 day 1 _5-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-7-22_file_541 day 3 _1-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-7-22_file_541 day 3 _2-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-7-22_file_541 day 3 _3-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-7-22_file_541 day 3 _4-exported_dist.txt",0,0,0,0,0,0,0,0,0,0,0
"folder_2016-7-22_file_541 nlg1 day 1 _1-exported_dist.txt",0,0,0,1,0,0,0,0,0,0,0
"folder_2016-7-22_file_541 nlg1 day 1 _2-exported_dist.txt",0,0,0,1,0,0,0,0,0,0,0
"folder_2016-7-22_file_541 nlg1 day 1 _3-exported_dist.txt",0,0,0,1,0,0,0,0,0,0,0
